country,provider_account,hit_type,named_threat,threat_behavior,malware_condition,incident,tag_name,Count
USA,7/4,Malicious,PhonyFetcher-3PC,Backdoor,PhonyFetcher-3PC,TMT-20241106-JLO,d=7&s=4&ci=&cri=507_4_1326973&at=0&t=1,2
USA,7/4,Malicious,PhonyFetcher-3PC,Backdoor,PhonyFetcher-3PC,TMT-20241106-JLO,d=7&s=4&ci=&cri=507_4_1319313&at=0&t=1,2
USA,7/4,Malicious,PhonyFetcher-3PC,Backdoor,PhonyFetcher-3PC,TMT-20241204-CMA,d=7&s=4&ci=&cri=507_4_1326976&at=0&t=1,2
USA,7/4,Malicious,PhonyFetcher-3PC,Backdoor,PhonyFetcher-3PC,TMT-20241106-JLO,d=7&s=4&ci=&cri=507_4_1319314&at=0&t=1,2
USA,7/44,Malicious,SocGholish,Backdoor,SocGholish,TMT-20241211-OSG,d=7&s=44&ci=&cri=497_44_47OIN7SGGBFSVLIOQUPTWG_300x600_1&at=0&t=1,2
USA,7/4,Malicious,PhonyFetcher-3PC,Backdoor,PhonyFetcher-3PC,TMT-20241106-JLO,d=7&s=4&ci=&cri=507_4_1319311&at=0&t=1,2
USA,7/4,Malicious,PhonyFetcher-3PC,Backdoor,PhonyFetcher-3PC,TMT-20241106-JLO,d=7&s=4&ci=&cri=507_4_1327103&at=0&t=1,2
USA,7/4,Malicious,PhonyFetcher-3PC,Backdoor,PhonyFetcher-3PC,TMT-20241106-JLO,d=7&s=4&ci=&cri=507_4_1335719&at=0&t=1,2
USA,7/4,Malicious,PhonyFetcher-3PC,Backdoor,PhonyFetcher-3PC,TMT-20241106-JLO,d=7&s=4&ci=&cri=507_4_1327104&at=0&t=1,2
USA,7/4,Malicious,PhonyFetcher-3PC,Backdoor,PhonyFetcher-3PC,TMT-20241106-JLO,d=7&s=4&ci=&cri=507_4_1319312&at=0&t=1,2
USA,7/4,Malicious,PhonyFetcher-3PC,Backdoor,PhonyFetcher-3PC,TMT-20241106-JLO,d=7&s=4&ci=&cri=507_4_1335397&at=0&t=1,2
