"Tag Summary Report"
"12/01/2024 00:00 - 01/01/2025 00:00"

Incident,"Ad Tag ID",Hash,"Tag Name","Scan Type","Hit Type","Scan Date","Scan ID",Example,csid,"Comment Type","Comment Text","Threat Behavior","Expected Behavior","Malware Condition","Named Threat","Resolution Reason"
TMT-20240429-OMT,pluto_tmt_cr_11ca020f384e610cc3fcf416067b36d4,09aa7e5a63cf56698f756ebb676a4915,pluto_tmt_mobile_193_556010-176_CR51723936|3702b4d752b50eda_RTB,Tag,Scam/Fraud,"2025-01-01 04:17 +0000",124716775599,https://www.themediatrust.com?scsh=124716775599,3UKm6PZd2pdv,"Ad Fraud","The creative delivery method for this creative will piggyback extra content. This extra content gets delivered when the creative is delivered and is acting in a fraudulent manner that includes, but is not limited to, cookie stuffing and impression fraud.
Often times the fix is as simple as removing the click URL from the 1x1 iframe where an impression URL is typically located.","Ad Fraud","Impression Fraud","Ad Fraud",,
TMT-20230609-VMQ,pluto_tmt_cr_0addb7b37129e59ce740162675f2080b,f9a81ca25aa5867ac45292545e5fe89a,pluto_tmt_mobile_159_121045_4_95_RTB,Tag,"Malicious - Indirect Evidence","2025-01-01 04:16 +0000",124716751514,https://www.themediatrust.com?scsh=124716751514,3UKm65XA1kQc,"Heuristic Flag","Heuristics: This content matches previously identified patterns and characteristics of known malicious content. This flag is specifically placed to discover and locate potential characteristics and impressions of new and modified versions of existing threats.","Generic Malware/Suspicious","Suspicious (Multiple indicators match known overt incidents but no overt actions detected.)","Heuristic Flag",,
TMT-20241213-LXJ,pluto_tmt_cr_f79a30f08bebfee0c104710a6908de8e,c918da357e939f943298101e4a4c2c57,pluto_tmt_mobile_547_cr2694.59b12bfb_RTB,Tag,Malicious,"2025-01-01 03:52 +0000",124716337057,https://www.themediatrust.com?scsh=124716337057,3UKkHEVW1apw,"GhostCat - 3PC","GhostCat-3PC: This malicious campaign utilizes advanced obfuscation and delivery patterns to evade signature-based detection. This malware evades conventional blockers in order to hijack users browser sessions for the purpose of delivering popups, redirects, and other phishing content. Publisher visitors who fall victim to this malware may have malicious software installed on their device, including but not limited to Remote Access Trojans and adware.",Phishing,Phishing,"GhostCat - 3PC","GhostCat - 3PC",
TMT-20230609-OEC,pluto_tmt_cr_3074d8fa334a957f71123e533312fcef,b67484d2f6050ce462309dc465f961a0,pluto_tmt_mobile_159_121045_1_96_RTB,Tag,"Malicious - Indirect Evidence","2025-01-01 03:30 +0000",124715967851,https://www.themediatrust.com?scsh=124715967851,3UKkAQhQ2SAt,"Heuristic Flag","Heuristics: This content matches previously identified patterns and characteristics of known malicious content. This flag is specifically placed to discover and locate potential characteristics and impressions of new and modified versions of existing threats.","Generic Malware/Suspicious","Suspicious (Multiple indicators match known overt incidents but no overt actions detected.)","Heuristic Flag",,
TMT-20240424-UAH,pluto_tmt_cr_550b85692039e706665fd0d89b2d4cec,a193779de7e600832fd2842aee3f6fa0,pluto_tmt_mobile_659_176_CR51519018_RTB,Tag,"Out Of Browser Redirect","2025-01-01 03:36 +0000",124715937410,https://www.themediatrust.com?scsh=124715937410,3UKkC7EK1rBj,"App Store Redirect Android","This content has been seen to trigger click fraud activity in ad delivery as well as auto redirect users to the Google Play store without any user initiation. This content triggers a click action when the user has not yet clicked on any items causing the fraud to take place. The user is taken out of their current browser (or app) and forced into the Google Play store. Although not necessarily malicious, this behavior is unwanted and because of this, TMT is alerting on its presence.Often times the fix is as simple as removing the click URL from the 1x1 iframe where an impression URL is typically located.","Ad Fraud","Out-of-browser Redirect","App Store Redirect Android",,
TMT-20230609-VMQ,pluto_tmt_cr_24a7388483ba41ae47afcc7820140445,a32b6c99031bf7b0a85658a8bf40d994,pluto_tmt_mobile_159_308_120696_2_143_RTB,Tag,"Malicious - Indirect Evidence","2025-01-01 03:19 +0000",124715712045,https://www.themediatrust.com?scsh=124715712045,3UKk6tjC2b4H,"Heuristic Flag","Heuristics: This content matches previously identified patterns and characteristics of known malicious content. This flag is specifically placed to discover and locate potential characteristics and impressions of new and modified versions of existing threats.","Generic Malware/Suspicious","Suspicious (Multiple indicators match known overt incidents but no overt actions detected.)","Heuristic Flag",,
TMT-20230609-OEC,pluto_tmt_cr_56f64a435992a4e31ead5742a9ff15fb,2bdd239201d10aadcdc704d82925f191,pluto_tmt_mobile_159_121045_1_95_RTB,Tag,"Malicious - Indirect Evidence","2025-01-01 02:43 +0000",124715091709,https://www.themediatrust.com?scsh=124715091709,3UKjEQbT2dDM,"Heuristic Flag","Heuristics: This content matches previously identified patterns and characteristics of known malicious content. This flag is specifically placed to discover and locate potential characteristics and impressions of new and modified versions of existing threats.","Generic Malware/Suspicious","Suspicious (Multiple indicators match known overt incidents but no overt actions detected.)","Heuristic Flag",,
TMT-20240429-OMT,pluto_tmt_cr_6e2e516f1f60ad9d3cf661eaf30f803b,28ca61502017d1eaac543a53cc968d0b,pluto_tmt_mobile_822_556010-176_CR51723932|3702b4d752b50eda_RTB,Tag,Scam/Fraud,"2025-01-01 02:38 +0000",124715010657,https://www.themediatrust.com?scsh=124715010657,3UKjCnPS1Pd4,"Ad Fraud","The creative delivery method for this creative will piggyback extra content. This extra content gets delivered when the creative is delivered and is acting in a fraudulent manner that includes, but is not limited to, cookie stuffing and impression fraud.
Often times the fix is as simple as removing the click URL from the 1x1 iframe where an impression URL is typically located.","Ad Fraud","Impression Fraud","Ad Fraud",,
TMT-20240312-OFU,pluto_tmt_cr_58887e5643120e697ce7eec80f630515,93135a63856d23c3803d9a9743482adf,pluto_tmt_mobile_477_grupo18m_118000|3490:CR51369433_RTB,Tag,"Out Of Browser Redirect","2025-01-01 02:14 +0000",124714533972,https://www.themediatrust.com?scsh=124714533972,3UKj5SQF2SHM,"App Store Redirect Android","This content has been seen to trigger click fraud activity in ad delivery as well as auto redirect users to the Google Play store without any user initiation. This content triggers a click action when the user has not yet clicked on any items causing the fraud to take place. The user is taken out of their current browser (or app) and forced into the Google Play store. Although not necessarily malicious, this behavior is unwanted and because of this, TMT is alerting on its presence.Often times the fix is as simple as removing the click URL from the 1x1 iframe where an impression URL is typically located.","Ad Fraud","Out-of-browser Redirect","App Store Redirect Android",,
TMT-20231122-BCO,pluto_tmt_cr_8e07d477e9ad84136a3159809cca3e9a,49ff546009a2499acd237895a65846fa,pluto_tmt_mobile_159_121045_3_95_RTB,Tag,"Malicious - Indirect Evidence","2025-01-01 02:11 +0000",124714489084,https://www.themediatrust.com?scsh=124714489084,3UKj4ZsM1ATG,"Heuristic Flag","Heuristics: This content matches previously identified patterns and characteristics of known malicious content. This flag is specifically placed to discover and locate potential characteristics and impressions of new and modified versions of existing threats.","Generic Malware/Suspicious","Suspicious (Multiple indicators match known overt incidents but no overt actions detected.)","Heuristic Flag",,
TMT-20241023-WFN,pluto_tmt_cr_42a2e975b1f5de379a3dc2c61616960b,eccb828672993ce0c3bad8ce711f1d2f,pluto_tmt_mobile_822_2409_25495_176_CR51615021|bd65bb04371f3ce0_RTB,Tag,"Out Of Browser Redirect","2025-01-01 01:52 +0000",124714117235,https://www.themediatrust.com?scsh=124714117235,3UKiHBSG1bmS,"App Store Redirect iOS","This content has been seen to trigger click fraud activity in ad delivery as well as auto redirect users to the iTunes store without any user initiation. This content triggers a click action when the user has not yet clicked on any items causing the fraud to take place. The user is taken out of their current browser (or app) and forced into iTunes. Although not necessarily malicious, this behavior is unwanted and because of this, TMT is alerting on its presence.Often times the fix is as simple as removing the click URL from the 1x1 iframe where an impression URL is typically located.","Ad Fraud","Out-of-browser Redirect","App Store Redirect iOS",,
TMT-20240312-OFU,pluto_tmt_cr_ca674572698f7eebd4f02db9252a14d7,6ab19920e351b5ef25669e3fa3abab8f,pluto_tmt_mobile_544_cr2690.73bad703_RTB,Tag,"Out Of Browser Redirect","2025-01-01 01:23 +0000",124713542350,https://www.themediatrust.com?scsh=124713542350,3UKi8DUt2Vq6,"App Store Redirect Android","This content has been seen to trigger click fraud activity in ad delivery as well as auto redirect users to the Google Play store without any user initiation. This content triggers a click action when the user has not yet clicked on any items causing the fraud to take place. The user is taken out of their current browser (or app) and forced into the Google Play store. Although not necessarily malicious, this behavior is unwanted and because of this, TMT is alerting on its presence.Often times the fix is as simple as removing the click URL from the 1x1 iframe where an impression URL is typically located.","Ad Fraud","Out-of-browser Redirect","App Store Redirect Android",,
TMT-20240930-JMO,pluto_tmt_cr_cadb033f2f17ad49479875fee0478c2e,9b22e2a483b6e686fd2e2df37e389c3b,pluto_tmt_mobile_324_11570401_RTB,Tag,Scam/Fraud,"2025-01-01 00:41 +0000",124712675253,https://www.themediatrust.com?scsh=124712675253,3UKhDgbt1MRq,Scam,"This content is a phishing/credential theft scam enticing users to enter personal information that is then leveraged in the future to harm the consumer or the corporate entity the consumer works for.",Scams,Phishing,Scam,,
