"Tag Summary Report"
"12/14/2024 00:00 - 01/13/2025 00:00"

Incident,"Ad Tag ID",Hash,"Tag Name","Scan Type","Hit Type","Scan Date","Scan ID",Example,csid,"Report Period Hit Count","Tag Status",City,Country,"Named Threat","Resolution Reason"
TMT-20240625-TAM,d=7&s=16&ci=&cri=556_16_489613747&at=0&t=1,14a26fd1060cf2f9268b3d6b24dbd5aa,d=7&s=16&ci=&cri=556_16_489613747&at=0&t=1,Tag,"Malicious - Indirect Evidence","2025-01-13 04:52 +0000",125024837020,https://www.themediatrust.com?scsh=125024837020,3UQjH53g134n,1,Active,"Mclean, Virginia",USA,,
TMT-20240822-OZX,d=7&s=46&ci=&cri=498_46_11324169&at=0&t=1,f7f29122f162bf1913e9c3c9fbaca767,d=7&s=46&ci=&cri=498_46_11324169&at=0&t=1,Tag,Malicious,"2025-01-13 04:43 +0000",125024744474,https://www.themediatrust.com?scsh=125024744474,3UQjERMv2N8K,1,Active,"Columbus, Ohio",USA,,
TMT-20240625-TAM,d=7&s=16&ci=&cri=556_16_609170982&at=0&t=1,12ccbf034f619fbe2057c33d12ac7569,d=7&s=16&ci=&cri=556_16_609170982&at=0&t=1,Tag,"Malicious - Indirect Evidence","2025-01-13 03:49 +0000",125023955699,https://www.themediatrust.com?scsh=125023955699,3UQiGAPZ1wym,1,Active,"Mclean, Virginia",USA,,
TMT-20240614-WNO,d=7&s=165&ci=&cri=555_165_719494343996&at=0&t=1,d81e76e7282573f80ea0b18b0407ecc1,d=7&s=165&ci=&cri=555_165_719494343996&at=0&t=1,Tag,"Malicious - Indirect Evidence","2025-01-13 03:42 +0000",125023850073,https://www.themediatrust.com?scsh=125023850073,3UQiE9xP1AXV,1,Active,"Mclean, Virginia",USA,,
TMT-20230705-AKT,d=7&s=165&ci=&cri=555_165_692889289891&at=0&t=1,46341479c3175eafdbff3c38c2bd1059,d=7&s=165&ci=&cri=555_165_692889289891&at=0&t=1,Tag,Malicious,"2025-01-13 03:38 +0000",125023775574,https://www.themediatrust.com?scsh=125023775574,3UQiCuCJ2aGB,1,Active,"Mclean, Virginia",USA,,
TMT-20240625-TAM,d=7&s=379&ci=&cri=494_379_16_489615424&at=0&t=1,4133ab9f1dc9eaa23355157c4b004de2,d=7&s=379&ci=&cri=494_379_16_489615424&at=0&t=1,Tag,"Malicious - Indirect Evidence","2025-01-13 03:35 +0000",125023715333,https://www.themediatrust.com?scsh=125023715333,3UQiBrBi29rf,1,Active,"Mclean, Virginia",USA,,
TMT-20241115-FXV,d=7&s=165&ci=&cri=555_165_726948419753&at=0&t=1,770eb8f32ac4c84f1f504254df2cced7,d=7&s=165&ci=&cri=555_165_726948419753&at=0&t=1,Tag,Malicious,"2025-01-13 03:25 +0000",125023593251,https://www.themediatrust.com?scsh=125023593251,3UQi8sVG2Nag,1,Active,"Mclean, Virginia",USA,PhonyFetcher-3PC,
TMT-20240625-TAM,d=7&s=379&ci=&cri=494_379_16_489636293&at=0&t=1,5ea52e5b61677120292475f6da0a6945,d=7&s=379&ci=&cri=494_379_16_489636293&at=0&t=1,Tag,"Malicious - Indirect Evidence","2025-01-13 03:20 +0000",125023483947,https://www.themediatrust.com?scsh=125023483947,3UQi7TBJ2ZWQ,1,Active,"Mclean, Virginia",USA,,
TMT-20240625-TAM,d=7&s=165&ci=&cri=555_165_724125307569&at=0&t=1,bc294e14626f8bf08b9e77342ca9f4e6,d=7&s=165&ci=&cri=555_165_724125307569&at=0&t=1,Tag,"Malicious - Indirect Evidence","2025-01-13 03:07 +0000",125023283988,https://www.themediatrust.com?scsh=125023283988,3UQi3H1j2KPa,1,Active,"Mclean, Virginia",USA,,
TMT-20240924-VWG,d=7&s=165&ci=&cri=555_165_714866055504&at=0&t=1,509e55c558ca7195b1c6683bcd8f66d3,d=7&s=165&ci=&cri=555_165_714866055504&at=0&t=1,Tag,"Malicious - Indirect Evidence","2025-01-13 03:04 +0000",125023247801,https://www.themediatrust.com?scsh=125023247801,3UQi2UAz1zfn,1,Active,"Mclean, Virginia",USA,,
TMT-20240102-VWR,d=7&s=176&ci=&cri=561_176_CR50959172&at=0&t=1,cf356e463bc972d13b35fc3d4c0783b8,d=7&s=176&ci=&cri=561_176_CR50959172&at=0&t=1,Tag,Scam/Fraud,"2025-01-13 02:47 +0000",125022975479,https://www.themediatrust.com?scsh=125022975479,3UQhFiy92A9J,1,Active,"Mclean, Virginia",USA,,
TMT-20240722-QGC,d=7&s=165&ci=&cri=555_165_728532527743&at=0&t=1,5e4795cf4281b699a93c4be8ee00b91b,d=7&s=165&ci=&cri=555_165_728532527743&at=0&t=1,Tag,Malicious,"2025-01-13 02:48 +0000",125022975331,https://www.themediatrust.com?scsh=125022975331,3UQhFrg11LZf,1,Active,"Mclean, Virginia",USA,PhonyFetcher-3PC,
TMT-20241106-JLO,d=7&s=4&ci=&cri=507_4_1319300&at=0&t=1,cd9529795f9b30f05719bc23841aea87,d=7&s=4&ci=&cri=507_4_1319300&at=0&t=1,Tag,Malicious,"2025-01-13 02:40 +0000",125022888377,https://www.themediatrust.com?scsh=125022888377,3UQhDUYu2Mpi,1,Active,"Mclean, Virginia",USA,PhonyFetcher-3PC,
TMT-20241114-GLN,d=7&s=165&ci=&cri=555_165_725011193507&at=0&t=1,69288431c6c0dbf996d9c9fba9082c0c,d=7&s=165&ci=&cri=555_165_725011193507&at=0&t=1,Tag,Malicious,"2025-01-13 02:27 +0000",125022656070,https://www.themediatrust.com?scsh=125022656070,3UQh9MHL1LGT,1,Active,"Mclean, Virginia",USA,PhonyFetcher-3PC,
TMT-20241129-KLE,d=7&s=165&ci=&cri=555_165_720179804769&at=0&t=1,3ddfa25582f349e43d2c72d32ddba08a,d=7&s=165&ci=&cri=555_165_720179804769&at=0&t=1,Tag,"Malicious Landing Location","2025-01-13 01:35 +0000",125021787028,https://www.themediatrust.com?scsh=125021787028,3UQgBw6i2DY3,1,Active,"Mclean, Virginia",USA,,
