"Tag Summary Report"
"12/01/2024 00:00 - 01/01/2025 00:00"

Incident,"Ad Tag ID",Hash,"Tag Name","Scan Type","Hit Type","Scan Date","Scan ID",Example,csid,"Report Period Hit Count","Tag Status","Start Date","End Date",Pause,Priority,"Publisher Name","Publisher ID","Website ID","Website Name","Provider ID","Provider Name","Provider Account ID","Provider Account",Country,Referrer,"Comment Type","Comment Text","Threat Behavior","Expected Behavior","Malware Condition",City,"Named Threat","Resolution Reason"
TMT-20240509-QSC,859202412192200,361a4439920fa98fe4e922cb0acb73d0,129894@|@9422_1161_otaa,Tag,Malicious,"2024-12-20 22:07 +0000",124409677351,https://www.themediatrust.com?scsh=124409677351,3UF73HNF29Mv,1,Expired,2024-12-19,2024-12-20,f,3.00,,,,,129894,"Adapace Video web  Nov 13th",,,USA,,"GhostCat - 3PC","GhostCat-3PC: This malicious campaign utilizes advanced obfuscation and delivery patterns to evade signature-based detection. This malware evades conventional blockers in order to hijack users browser sessions for the purpose of delivering popups, redirects, and other phishing content. Publisher visitors who fall victim to this malware may have malicious software installed on their device, including but not limited to Remote Access Trojans and adware.",Phishing,Phishing,"GhostCat - 3PC","Mclean, Virginia","GhostCat - 3PC",
TMT-20241219-NAY,859202412192200,361a4439920fa98fe4e922cb0acb73d0,129894@|@9422_1161_otaa,Tag,Malicious,"2024-12-20 22:07 +0000",124409677344,https://www.themediatrust.com?scsh=124409677344,3UF73HNF16rG,4,Expired,2024-12-19,2024-12-20,f,3.00,,,,,129894,"Adapace Video web  Nov 13th",,,USA,,"GhostCat - 3PC","GhostCat-3PC: This malicious campaign utilizes advanced obfuscation and delivery patterns to evade signature-based detection. This malware evades conventional blockers in order to hijack users browser sessions for the purpose of delivering popups, redirects, and other phishing content. Publisher visitors who fall victim to this malware may have malicious software installed on their device, including but not limited to Remote Access Trojans and adware.",Phishing,Phishing,"GhostCat - 3PC","Mclean, Virginia","GhostCat - 3PC",
TMT-20240509-QSC,8514202412192300,4ba14d86c3d7bca9af9f27b603eb1459,129956@|@aa533278e4ff9745bc2b41cce8bd7268,Tag,Malicious,"2024-12-19 23:13 +0000",124381807834,https://www.themediatrust.com?scsh=124381807834,3UEi5GX42D4q,1,Expired,2024-12-19,2024-12-20,f,3.00,,,,,129956,"Adsview Banner IA 14TH November 2024",,,USA,,"GhostCat - 3PC","GhostCat-3PC: This malicious campaign utilizes advanced obfuscation and delivery patterns to evade signature-based detection. This malware evades conventional blockers in order to hijack users browser sessions for the purpose of delivering popups, redirects, and other phishing content. Publisher visitors who fall victim to this malware may have malicious software installed on their device, including but not limited to Remote Access Trojans and adware.",Phishing,Phishing,"GhostCat - 3PC","Mclean, Virginia","GhostCat - 3PC",
TMT-20241219-NAY,8533202412192300,6c3b479b6e0f990aca41a14230fb998e,130530@|@12200_7091_otaa,Tag,Malicious,"2024-12-19 23:12 +0000",124381791177,https://www.themediatrust.com?scsh=124381791177,3UEi4z7218Wf,3,Expired,2024-12-19,2024-12-20,f,3.00,,,,,130530,"Media Xchange ADK Video Web 3RD December 2024",,,USA,,"GhostCat - 3PC","GhostCat-3PC: This malicious campaign utilizes advanced obfuscation and delivery patterns to evade signature-based detection. This malware evades conventional blockers in order to hijack users browser sessions for the purpose of delivering popups, redirects, and other phishing content. Publisher visitors who fall victim to this malware may have malicious software installed on their device, including but not limited to Remote Access Trojans and adware.",Phishing,Phishing,"GhostCat - 3PC","Mclean, Virginia","GhostCat - 3PC",
TMT-20240913-MBV,8517202412192300,0e5829788d88d053bfcbabc4b9b76d41,129893@|@89c02830963f513de3e56549efb07efa,Tag,Malicious,"2024-12-19 23:12 +0000",124381787413,https://www.themediatrust.com?scsh=124381787413,3UEi4rPV2q5t,1,Expired,2024-12-19,2024-12-20,f,3.00,,,,,129893,"Adapace Banner IA 13th Nov",,,USA,,"GhostCat - 3PC","GhostCat-3PC: This malicious campaign utilizes advanced obfuscation and delivery patterns to evade signature-based detection. This malware evades conventional blockers in order to hijack users browser sessions for the purpose of delivering popups, redirects, and other phishing content. Publisher visitors who fall victim to this malware may have malicious software installed on their device, including but not limited to Remote Access Trojans and adware.",Phishing,Phishing,"GhostCat - 3PC","Mclean, Virginia","GhostCat - 3PC",
TMT-20240509-QSC,8519202412192300,b73b379cbbfbd459561c1a1d6ce40f19,129956@|@150bf1f2303ef2a0001970f9ef8c1bb9,Tag,Malicious,"2024-12-19 23:11 +0000",124381759175,https://www.themediatrust.com?scsh=124381759175,3UEi4SDD2def,1,Expired,2024-12-19,2024-12-20,f,3.00,,,,,129956,"Adsview Banner IA 14TH November 2024",,,USA,,"GhostCat - 3PC","GhostCat-3PC: This malicious campaign utilizes advanced obfuscation and delivery patterns to evade signature-based detection. This malware evades conventional blockers in order to hijack users browser sessions for the purpose of delivering popups, redirects, and other phishing content. Publisher visitors who fall victim to this malware may have malicious software installed on their device, including but not limited to Remote Access Trojans and adware.",Phishing,Phishing,"GhostCat - 3PC","Mclean, Virginia","GhostCat - 3PC",
TMT-20241219-NAY,8511202412192300,0b7167c4b0b9f08911257e8e0672ada7,129955@|@9967_9734_15808tsppcbuzz_125089|otaa,Tag,Malicious,"2024-12-19 23:10 +0000",124381740604,https://www.themediatrust.com?scsh=124381740604,3UEi45G32K2u,1,Expired,2024-12-19,2024-12-20,f,3.00,,,,,129955,"Adsview Video Web 14TH November 2024",,,USA,,"GhostCat - 3PC","GhostCat-3PC: This malicious campaign utilizes advanced obfuscation and delivery patterns to evade signature-based detection. This malware evades conventional blockers in order to hijack users browser sessions for the purpose of delivering popups, redirects, and other phishing content. Publisher visitors who fall victim to this malware may have malicious software installed on their device, including but not limited to Remote Access Trojans and adware.",Phishing,Phishing,"GhostCat - 3PC","Mclean, Virginia","GhostCat - 3PC",
TMT-20230908-DXA,8533202412192300,6c3b479b6e0f990aca41a14230fb998e,130530@|@12200_7091_otaa,Tag,"Malicious - Indirect Evidence","2024-12-19 23:09 +0000",124381722819,https://www.themediatrust.com?scsh=124381722819,3UEi42522Aeg,1,Expired,2024-12-19,2024-12-20,f,3.00,,,,,130530,"Media Xchange ADK Video Web 3RD December 2024",,,USA,,"Heuristic Flag","Heuristics: This content matches previously identified patterns and characteristics of known malicious content. This flag is specifically placed to discover and locate potential characteristics and impressions of new and modified versions of existing threats.","Generic Malware/Suspicious","Suspicious (Multiple indicators match known overt incidents but no overt actions detected.)","Heuristic Flag","Mclean, Virginia",,
TMT-20230908-DXA,853202412192300,12d2fb93ec60c9b307f58cfdccd960a7,127238@|@9129_otaa,Tag,"Malicious - Indirect Evidence","2024-12-19 23:07 +0000",124381679444,https://www.themediatrust.com?scsh=124381679444,3UEi3KEZ2ZLv,1,Expired,2024-12-19,2024-12-20,f,3.00,,,,,127238,"FlairAds Video Web 28th August 2024",,,USA,,"Heuristic Flag","Heuristics: This content matches previously identified patterns and characteristics of known malicious content. This flag is specifically placed to discover and locate potential characteristics and impressions of new and modified versions of existing threats.","Generic Malware/Suspicious","Suspicious (Multiple indicators match known overt incidents but no overt actions detected.)","Heuristic Flag","Mclean, Virginia",,
TMT-20240913-MBV,8530202412192300,87bccb17ba50bdb3497b23aa9afc57b8,129893@|@62f0b679649b042ef7600bc621c64dba,Tag,Malicious,"2024-12-19 23:07 +0000",124381679441,https://www.themediatrust.com?scsh=124381679441,3UEi3HxC1tH1,1,Expired,2024-12-19,2024-12-20,f,3.00,,,,,129893,"Adapace Banner IA 13th Nov",,,USA,,"GhostCat - 3PC","GhostCat-3PC: This malicious campaign utilizes advanced obfuscation and delivery patterns to evade signature-based detection. This malware evades conventional blockers in order to hijack users browser sessions for the purpose of delivering popups, redirects, and other phishing content. Publisher visitors who fall victim to this malware may have malicious software installed on their device, including but not limited to Remote Access Trojans and adware.",Phishing,Phishing,"GhostCat - 3PC","Mclean, Virginia","GhostCat - 3PC",
TMT-20241219-NAY,855202412192300,dac963c0ed34af60b33b7b2ae2d7c380,129955@|@12584_cr2841.cf7f3a37,Tag,Malicious,"2024-12-19 23:06 +0000",124381665826,https://www.themediatrust.com?scsh=124381665826,3UEi364D2JB2,1,Expired,2024-12-19,2024-12-20,f,3.00,,,,,129955,"Adsview Video Web 14TH November 2024",,,USA,,"GhostCat - 3PC","GhostCat-3PC: This malicious campaign utilizes advanced obfuscation and delivery patterns to evade signature-based detection. This malware evades conventional blockers in order to hijack users browser sessions for the purpose of delivering popups, redirects, and other phishing content. Publisher visitors who fall victim to this malware may have malicious software installed on their device, including but not limited to Remote Access Trojans and adware.",Phishing,Phishing,"GhostCat - 3PC","Mclean, Virginia","GhostCat - 3PC",
TMT-20240913-MBV,8513202412192300,1736b3823980d23015b791d17fc00687,129956@|@522711c0601512020940f1b0378d3263,Tag,Malicious,"2024-12-19 23:07 +0000",124381663858,https://www.themediatrust.com?scsh=124381663858,3UEi3Cy91cTV,1,Expired,2024-12-19,2024-12-20,f,3.00,,,,,129956,"Adsview Banner IA 14TH November 2024",,,USA,,"GhostCat - 3PC","GhostCat-3PC: This malicious campaign utilizes advanced obfuscation and delivery patterns to evade signature-based detection. This malware evades conventional blockers in order to hijack users browser sessions for the purpose of delivering popups, redirects, and other phishing content. Publisher visitors who fall victim to this malware may have malicious software installed on their device, including but not limited to Remote Access Trojans and adware.",Phishing,Phishing,"GhostCat - 3PC","Mclean, Virginia","GhostCat - 3PC",
TMT-20230908-DXA,8513202412192200,a4c86d2cab0251240bfdd55499d3584f,127238@|@9129_otaa,Tag,"Malicious - Indirect Evidence","2024-12-19 22:26 +0000",124380861896,https://www.themediatrust.com?scsh=124380861896,3UEh9AgY1xKM,3,Expired,2024-12-19,2024-12-20,f,3.00,,,,,127238,"FlairAds Video Web 28th August 2024",,,USA,,"Heuristic Flag","Heuristics: This content matches previously identified patterns and characteristics of known malicious content. This flag is specifically placed to discover and locate potential characteristics and impressions of new and modified versions of existing threats.","Generic Malware/Suspicious","Suspicious (Multiple indicators match known overt incidents but no overt actions detected.)","Heuristic Flag","Mclean, Virginia",,
TMT-20240913-MBV,854202412192200,fafc5fa43170630ccfcdc311e7cfeac1,129894@|@9422_1239_350_otaa,Tag,Malicious,"2024-12-19 22:09 +0000",124380539997,https://www.themediatrust.com?scsh=124380539997,3UEh45Bo2ckd,1,Expired,2024-12-19,2024-12-20,f,3.00,,,,,129894,"Adapace Video web  Nov 13th",,,USA,,"GhostCat - 3PC","GhostCat-3PC: This malicious campaign utilizes advanced obfuscation and delivery patterns to evade signature-based detection. This malware evades conventional blockers in order to hijack users browser sessions for the purpose of delivering popups, redirects, and other phishing content. Publisher visitors who fall victim to this malware may have malicious software installed on their device, including but not limited to Remote Access Trojans and adware.",Phishing,Phishing,"GhostCat - 3PC","Mclean, Virginia","GhostCat - 3PC",
TMT-20241219-NAY,854202412192200,fafc5fa43170630ccfcdc311e7cfeac1,129894@|@9422_1239_350_otaa,Tag,Malicious,"2024-12-19 22:09 +0000",124380539992,https://www.themediatrust.com?scsh=124380539992,3UEh45Bo1DYo,1,Expired,2024-12-19,2024-12-20,f,3.00,,,,,129894,"Adapace Video web  Nov 13th",,,USA,,"GhostCat - 3PC","GhostCat-3PC: This malicious campaign utilizes advanced obfuscation and delivery patterns to evade signature-based detection. This malware evades conventional blockers in order to hijack users browser sessions for the purpose of delivering popups, redirects, and other phishing content. Publisher visitors who fall victim to this malware may have malicious software installed on their device, including but not limited to Remote Access Trojans and adware.",Phishing,Phishing,"GhostCat - 3PC","Mclean, Virginia","GhostCat - 3PC",
