"Tag Summary Report"
"11/01/2024 00:00 - 12/01/2024 00:00"

Incident,"Ad Tag ID",Hash,"Tag Name","Scan Type","Hit Type","Scan Date","Scan ID",Example,csid,"Report Period Hit Count","Tag Status","Public Deck","Comment Type","Comment Text","Threat Behavior","Expected Behavior","Malware Condition",City,Country,"Named Threat","Resolution Reason"
TMT-20240225-RFH,8523202411291700,0e30063050368641be3bb256dd27ec8e,127926@|@adokut_125901|cr2995.c0a9d747,Tag,Resolved,"2024-12-01 04:09 +0000",123839381162,https://www.themediatrust.com?scsh=123839381162,3U6w3xr92Mc4,6,Expired,https://www.themediatrust.com/vt.php?controller=v9&tsid=9cf7e5bcc3f5806a7fad2e6aceaa4001,"Heuristic Flag","Heuristics: This content matches previously identified patterns and characteristics of known malicious content. This flag is specifically placed to discover and locate potential characteristics and impressions of new and modified versions of existing threats.","Generic Malware/Suspicious","Suspicious (Multiple indicators match known overt incidents but no overt actions detected.)","Heuristic Flag","Mclean, Virginia",USA,,"Heuristic Delisting"
TMT-20240828-GLZ,850202412010400,1e80cef5150aca3980b2d6a56361855e,130030@|@11998_admeridianopenr124151|esensbuy,Tag,Malicious,"2024-12-01 04:07 +0000",123839351386,https://www.themediatrust.com?scsh=123839351386,3U6w3J4a2LwV,3,Removed,https://www.themediatrust.com/vt.php?controller=v9&tsid=2ad95a16896c27249e8642f7e8e62c65,"GhostCat - 3PC","GhostCat-3PC: This malicious campaign utilizes advanced obfuscation and delivery patterns to evade signature-based detection. This malware evades conventional blockers in order to hijack users browser sessions for the purpose of delivering popups, redirects, and other phishing content. Publisher visitors who fall victim to this malware may have malicious software installed on their device, including but not limited to Remote Access Trojans and adware.",Phishing,Phishing,"GhostCat - 3PC","Mclean, Virginia",USA,"GhostCat - 3PC",
TMT-20240828-GLZ,8511202412010400,d4c87b4b307d90355338fb531949bf81,129123@|@cr3035.dd0cc385,Tag,Malicious,"2024-12-01 04:05 +0000",123839310000,https://www.themediatrust.com?scsh=123839310000,3U6w2iss1QKp,3,Removed,https://www.themediatrust.com/vt.php?controller=v9&tsid=526175f33e55647603b50c25db97b8b6,"GhostCat - 3PC","GhostCat-3PC: This malicious campaign utilizes advanced obfuscation and delivery patterns to evade signature-based detection. This malware evades conventional blockers in order to hijack users browser sessions for the purpose of delivering popups, redirects, and other phishing content. Publisher visitors who fall victim to this malware may have malicious software installed on their device, including but not limited to Remote Access Trojans and adware.",Phishing,Phishing,"GhostCat - 3PC","Mclean, Virginia",USA,"GhostCat - 3PC",
TMT-20240828-GLZ,853202412010400,7eded36f26d6c78d2a6e615c354d4a12,129894@|@9422_1157_esensbuy,Tag,Malicious,"2024-12-01 04:05 +0000",123839309819,https://www.themediatrust.com?scsh=123839309819,3U6w2h4t26tp,3,Removed,https://www.themediatrust.com/vt.php?controller=v9&tsid=40eb200af91a9b986df5b300d99cd58f,"GhostCat - 3PC","GhostCat-3PC: This malicious campaign utilizes advanced obfuscation and delivery patterns to evade signature-based detection. This malware evades conventional blockers in order to hijack users browser sessions for the purpose of delivering popups, redirects, and other phishing content. Publisher visitors who fall victim to this malware may have malicious software installed on their device, including but not limited to Remote Access Trojans and adware.",Phishing,Phishing,"GhostCat - 3PC","Mclean, Virginia",USA,"GhostCat - 3PC",
TMT-20240509-QSC,8510202412010400,b6b550d00625fed1d41a201597a8aa47,129893@|@18425457893c77ba11ec82057e359f23,Tag,Malicious,"2024-12-01 04:05 +0000",123839309721,https://www.themediatrust.com?scsh=123839309721,3U6w2h711Q5m,3,Removed,https://www.themediatrust.com/vt.php?controller=v9&tsid=2beb1f1ac74f3286f0feba8af9cb4b37,"GhostCat - 3PC","GhostCat-3PC: This malicious campaign utilizes advanced obfuscation and delivery patterns to evade signature-based detection. This malware evades conventional blockers in order to hijack users browser sessions for the purpose of delivering popups, redirects, and other phishing content. Publisher visitors who fall victim to this malware may have malicious software installed on their device, including but not limited to Remote Access Trojans and adware.",Phishing,Phishing,"GhostCat - 3PC","Mclean, Virginia",USA,"GhostCat - 3PC",
TMT-20240913-MBV,856202412010400,a78bf9ea7cdc1d4c865433a4635c6fd7,129893@|@721a55410d888b81db07d0149592ece6,Tag,Malicious,"2024-12-01 04:05 +0000",123839309346,https://www.themediatrust.com?scsh=123839309346,3U6w2dLw1VXA,3,Removed,https://www.themediatrust.com/vt.php?controller=v9&tsid=ce3a637db110653c5239c6e74cb3b5f8,"GhostCat - 3PC","GhostCat-3PC: This malicious campaign utilizes advanced obfuscation and delivery patterns to evade signature-based detection. This malware evades conventional blockers in order to hijack users browser sessions for the purpose of delivering popups, redirects, and other phishing content. Publisher visitors who fall victim to this malware may have malicious software installed on their device, including but not limited to Remote Access Trojans and adware.",Phishing,Phishing,"GhostCat - 3PC","Mclean, Virginia",USA,"GhostCat - 3PC",
TMT-20241129-EUV,858202411300000,1eaaca5fb47a1a25d12dfd1a08a30209,130340@|@5fddcfe541d510d4dac08fc4ac8d2667,Tag,Malicious,"2024-12-01 03:54 +0000",123839081369,https://www.themediatrust.com?scsh=123839081369,3U6vHeMX1qtX,8,Expired,https://www.themediatrust.com/vt.php?controller=v9&tsid=9c2f33e68590a3d2e341efe9beb8b5fd,"GhostCat - 3PC","GhostCat-3PC: This malicious campaign utilizes advanced obfuscation and delivery patterns to evade signature-based detection. This malware evades conventional blockers in order to hijack users browser sessions for the purpose of delivering popups, redirects, and other phishing content. Publisher visitors who fall victim to this malware may have malicious software installed on their device, including but not limited to Remote Access Trojans and adware.",Phishing,Phishing,"GhostCat - 3PC","Mclean, Virginia",USA,"GhostCat - 3PC",
TMT-20240828-GLZ,851202412010300,04c4d1ae0cb02a7483249cc42ecc5351,129955@|@9967_7091_esensbuy,Tag,Malicious,"2024-12-01 03:27 +0000",123838504101,https://www.themediatrust.com?scsh=123838504101,3U6v9axZ2Dc8,3,Removed,https://www.themediatrust.com/vt.php?controller=v9&tsid=f2b8ad4b7cc67313020fdacdb93aff67,"GhostCat - 3PC","GhostCat-3PC: This malicious campaign utilizes advanced obfuscation and delivery patterns to evade signature-based detection. This malware evades conventional blockers in order to hijack users browser sessions for the purpose of delivering popups, redirects, and other phishing content. Publisher visitors who fall victim to this malware may have malicious software installed on their device, including but not limited to Remote Access Trojans and adware.",Phishing,Phishing,"GhostCat - 3PC","Mclean, Virginia",USA,"GhostCat - 3PC",
TMT-20241114-CZE,8525202412010200,4945eb304baee92b77534d73f35871a9,129956@|@e61c6ee30b84c6fc20dda2549b4f38d9,Tag,"Malicious - Indirect Evidence","2024-12-01 03:25 +0000",123838440859,https://www.themediatrust.com?scsh=123838440859,3U6v8nWK1YjB,5,Removed,https://www.themediatrust.com/vt.php?controller=v9&tsid=c0596cf4861dd573fd2ceb65e96a60c6,"Heuristic Flag","Heuristics: This content matches previously identified patterns and characteristics of known malicious content. This flag is specifically placed to discover and locate potential characteristics and impressions of new and modified versions of existing threats.","Generic Malware/Suspicious","Suspicious (Multiple indicators match known overt incidents but no overt actions detected.)","Heuristic Flag","Mclean, Virginia",USA,,
TMT-20241129-QSU,8587202411290300,414be98859ecff81e1339b38f28adc8f,126393@|@127037|acer,Tag,Malicious,"2024-12-01 03:12 +0000",123838182883,https://www.themediatrust.com?scsh=123838182883,3U6v4vNH1aZW,7,Expired,https://www.themediatrust.com/vt.php?controller=v9&tsid=07f175633c51ccf68cbe9fe3e5e8907a,"GhostCat - 3PC","GhostCat-3PC: This malicious campaign utilizes advanced obfuscation and delivery patterns to evade signature-based detection. This malware evades conventional blockers in order to hijack users browser sessions for the purpose of delivering popups, redirects, and other phishing content. Publisher visitors who fall victim to this malware may have malicious software installed on their device, including but not limited to Remote Access Trojans and adware.",Phishing,Phishing,"GhostCat - 3PC","Mclean, Virginia",USA,"GhostCat - 3PC",
TMT-20241129-QSU,858202412010300,6ab0834fd05ef1f393e726d8dbe15421,129896@|@12217_9129_acer,Tag,Malicious,"2024-12-01 03:11 +0000",123838146572,https://www.themediatrust.com?scsh=123838146572,3U6v4dAT1Cnr,3,Removed,https://www.themediatrust.com/vt.php?controller=v9&tsid=d72a2ae7978adcf6e98853e2b7f49d2c,"GhostCat - 3PC","GhostCat-3PC: This malicious campaign utilizes advanced obfuscation and delivery patterns to evade signature-based detection. This malware evades conventional blockers in order to hijack users browser sessions for the purpose of delivering popups, redirects, and other phishing content. Publisher visitors who fall victim to this malware may have malicious software installed on their device, including but not limited to Remote Access Trojans and adware.",Phishing,Phishing,"GhostCat - 3PC","Mclean, Virginia",USA,"GhostCat - 3PC",
TMT-20230908-DXA,8518202411291100,ce625966f3c955c18bfb59e254eade18,127238@|@10495_22280_acer,Tag,"Malicious - Indirect Evidence","2024-12-01 03:11 +0000",123838142343,https://www.themediatrust.com?scsh=123838142343,3U6v4VZA1Erh,5,Expired,https://www.themediatrust.com/vt.php?controller=v9&tsid=a01026c67ddf8c41bc1e2d781ea8f604,"Heuristic Flag","Heuristics: This content matches previously identified patterns and characteristics of known malicious content. This flag is specifically placed to discover and locate potential characteristics and impressions of new and modified versions of existing threats.","Generic Malware/Suspicious","Suspicious (Multiple indicators match known overt incidents but no overt actions detected.)","Heuristic Flag","Mclean, Virginia",USA,,
TMT-20240828-GLZ,859202412010300,43f47095942b9ccdff4c2913d04f8b1f,130442@|@9967_7462_esensbuy,Tag,Malicious,"2024-12-01 03:09 +0000",123838102510,https://www.themediatrust.com?scsh=123838102510,3U6v3rnj1Znv,3,Removed,https://www.themediatrust.com/vt.php?controller=v9&tsid=461dfe0cbc3abcd6d3ad5f11daa8c141,"GhostCat - 3PC","GhostCat-3PC: This malicious campaign utilizes advanced obfuscation and delivery patterns to evade signature-based detection. This malware evades conventional blockers in order to hijack users browser sessions for the purpose of delivering popups, redirects, and other phishing content. Publisher visitors who fall victim to this malware may have malicious software installed on their device, including but not limited to Remote Access Trojans and adware.",Phishing,Phishing,"GhostCat - 3PC","Mclean, Virginia",USA,"GhostCat - 3PC",
