Incident,Ad Tag ID,Hash,Tag Name,Scan Type,Hit Type,Scan Date,Scan ID,Example,csid,Tag Status,Start Date,End Date,Pause,Priority,Publisher Name,Publisher ID,Website ID,Website Name,Provider ID,Provider Name,Provider Account ID,Provider Account,Country,Referrer,Public Deck,Comment Type,Comment Text,Threat Behavior,Expected Behavior,Malware Condition,Resolution Reason
TMT-20240703-YMJ,1735084886037213980,f0c7dde86b63f9781ab4ae6dcf8c0a97,TMT|banner$$20241225$$Inspiritum_dsp$$fyberdisplay$$231150$$_RTB,Tag,Malicious,2024-12-25 08:06 +0000,1.24534E+11,https://www.themediatrust.com?scsh=124533598121,3UGw2wgG2YU1,Expired,25/12/2024,25/12/2024,f,3,fyberdisplay,,,,,,,Inspiritum_dsp,,,https://www.themediatrust.com/vt.php?controller=v9&tsid=5c4e09df0c062229846e8525f9a5276a,Phishing Domain,"Phishing Domain: This domain delivers malicious popups and other phishing content such as fake surveys, gift card prizes, and fraudulent offers designed to trick users into disclosing personal information or downloading malware onto their device. These deceptive tactics are designed to exploit unsuspecting individuals, leading to potential financial loss, identity theft, and compromised security.",Phishing,Phishing,Phishing Domain,
TMT-20240703-YMJ,1735085463812485301,d6101b873c5dd1e3d6c2a13bc4b774c6,TMT|banner$$20241225$$Inspiritum_dsp$$unityads$$231712$$_RTB,Tag,Malicious,2024-12-25 08:03 +0000,1.24534E+11,https://www.themediatrust.com?scsh=124533569067,3UGw233a18pB,Expired,25/12/2024,25/12/2024,f,3,unityads,,,,,,,Inspiritum_dsp,,,https://www.themediatrust.com/vt.php?controller=v9&tsid=4bd9106ab8e92961d3e77d6b16c4ddd5,Phishing Domain,"Phishing Domain: This domain delivers malicious popups and other phishing content such as fake surveys, gift card prizes, and fraudulent offers designed to trick users into disclosing personal information or downloading malware onto their device. These deceptive tactics are designed to exploit unsuspecting individuals, leading to potential financial loss, identity theft, and compromised security.",Phishing,Phishing,Phishing Domain,
TMT-20240703-YMJ,1735084832069233833,efc6ef2c33c0016ceb5f247f46672d41,TMT|banner$$20241225$$Inspiritum_dsp$$unityads$$232504$$_RTB,Tag,Malicious,2024-12-25 08:02 +0000,1.24534E+11,https://www.themediatrust.com?scsh=124533546764,3UGw1qPv2pxv,Expired,25/12/2024,25/12/2024,f,3,unityads,,,,,,,Inspiritum_dsp,,,https://www.themediatrust.com/vt.php?controller=v9&tsid=106b5a728a57d15949675187c4532493,Phishing Domain,"Phishing Domain: This domain delivers malicious popups and other phishing content such as fake surveys, gift card prizes, and fraudulent offers designed to trick users into disclosing personal information or downloading malware onto their device. These deceptive tactics are designed to exploit unsuspecting individuals, leading to potential financial loss, identity theft, and compromised security.",Phishing,Phishing,Phishing Domain,
TMT-20241213-LXJ,1735085644016781615,d2e5a0fef89512ba2d6f1fa003654599,TMT|banner$$20241225$$almaty_dsp$$prebid$$ecea7083a22abc02e976463755a7a613$$_RTB,Tag,Malicious,2024-12-25 08:02 +0000,1.24534E+11,https://www.themediatrust.com?scsh=124533524106,3UGw1j2S1RY5,Expired,25/12/2024,25/12/2024,f,3,prebid,,,,,,,almaty_dsp,,,https://www.themediatrust.com/vt.php?controller=v9&tsid=b46728b80ee2a0b1ed1f061bdd2ece42,GhostCat - 3PC,"GhostCat-3PC: This malicious campaign utilizes advanced obfuscation and delivery patterns to evade signature-based detection. This malware evades conventional blockers in order to hijack users browser sessions for the purpose of delivering popups, redirects, and other phishing content. Publisher visitors who fall victim to this malware may have malicious software installed on their device, including but not limited to Remote Access Trojans and adware.",Phishing,Phishing,GhostCat - 3PC,
TMT-20241213-LXJ,1735085476780982165,f904aba19158b297792094b1cd0bc4e3,TMT|banner$$20241225$$almaty_dsp$$prebid$$fd1b0562821799f7f0fc7d25e48bd4d1$$_RTB,Tag,Malicious,2024-12-25 08:02 +0000,1.24534E+11,https://www.themediatrust.com?scsh=124533523752,3UGw1pM52TQi,Expired,25/12/2024,25/12/2024,f,3,prebid,,,,,,,almaty_dsp,,,https://www.themediatrust.com/vt.php?controller=v9&tsid=cae795bd852197da1caebf8aec53af87,GhostCat - 3PC,"GhostCat-3PC: This malicious campaign utilizes advanced obfuscation and delivery patterns to evade signature-based detection. This malware evades conventional blockers in order to hijack users browser sessions for the purpose of delivering popups, redirects, and other phishing content. Publisher visitors who fall victim to this malware may have malicious software installed on their device, including but not limited to Remote Access Trojans and adware.",Phishing,Phishing,GhostCat - 3PC,
TMT-20241223-KXF,1735085151390508164,cdc02da6310a9e863d968d8a80674402,TMT|banner$$20241225$$shareit_dsp$$mvungle$$1_214705971_320x480$$_RTB,Tag,Scam/Fraud,2024-12-25 08:02 +0000,1.24534E+11,https://www.themediatrust.com?scsh=124533523569,3UGw1kMt1bis,Expired,25/12/2024,25/12/2024,f,3,mvungle,,,,,,,shareit_dsp,,,https://www.themediatrust.com/vt.php?controller=v9&tsid=b88acbd36e50d286f25854f1e895e805,Ad Fraud,"The creative delivery method for this creative will piggyback extra content. This extra content gets delivered when the creative is delivered and is acting in a fraudulent manner that includes, but is not limited to, cookie stuffing and impression fraud.
Often times the fix is as simple as removing the click URL from the 1x1 iframe where an impression URL is typically located.",Ad Fraud,Impression Fraud,Ad Fraud,
TMT-20240703-YMJ,1735085194787653529,c7c669f6f14b1a048aee83ebeb7b2814,TMT|banner$$20241225$$Inspiritum_dsp$$pubnative$$228954$$_RTB,Tag,Malicious,2024-12-25 08:01 +0000,1.24534E+11,https://www.themediatrust.com?scsh=124533504506,3UGw1TqP2s8z,Expired,25/12/2024,25/12/2024,f,3,pubnative,,,,,,,Inspiritum_dsp,,,https://www.themediatrust.com/vt.php?controller=v9&tsid=5a790c95bb08c4608602e12ef31ebf34,Phishing Domain,"Phishing Domain: This domain delivers malicious popups and other phishing content such as fake surveys, gift card prizes, and fraudulent offers designed to trick users into disclosing personal information or downloading malware onto their device. These deceptive tactics are designed to exploit unsuspecting individuals, leading to potential financial loss, identity theft, and compromised security.",Phishing,Phishing,Phishing Domain,
TMT-20241213-LXJ,1735085334829573653,743766e6791741ec1ffbf7d823841e18,TMT|banner$$20241225$$screencore_dsp$$fyberdisplay$$1920-therapillo$$_RTB,Tag,Malicious,2024-12-25 08:02 +0000,1.24534E+11,https://www.themediatrust.com?scsh=124533504248,3UGw1jPh2B6F,Expired,25/12/2024,25/12/2024,f,3,fyberdisplay,,,,,,,screencore_dsp,,,https://www.themediatrust.com/vt.php?controller=v9&tsid=1c8d47c30bd56fcf8de8ae4d164ebac2,GhostCat - 3PC,"GhostCat-3PC: This malicious campaign utilizes advanced obfuscation and delivery patterns to evade signature-based detection. This malware evades conventional blockers in order to hijack users browser sessions for the purpose of delivering popups, redirects, and other phishing content. Publisher visitors who fall victim to this malware may have malicious software installed on their device, including but not limited to Remote Access Trojans and adware.",Phishing,Phishing,GhostCat - 3PC,
TMT-20240703-YMJ,1735084802491416164,0c7d1f0ae4a4ba142dc3958cbf82d944,TMT|banner$$20241225$$Inspiritum_dsp$$fyber$$231712$$_RTB,Tag,Malicious,2024-12-25 07:57 +0000,1.24533E+11,https://www.themediatrust.com?scsh=124533436639,3UGvJmps1P1A,Expired,25/12/2024,25/12/2024,f,3,fyber,,,,,,,Inspiritum_dsp,,,https://www.themediatrust.com/vt.php?controller=v9&tsid=3e9bf3979240d2cd93b30b1cff58e2ee,Phishing Domain,"Phishing Domain: This domain delivers malicious popups and other phishing content such as fake surveys, gift card prizes, and fraudulent offers designed to trick users into disclosing personal information or downloading malware onto their device. These deceptive tactics are designed to exploit unsuspecting individuals, leading to potential financial loss, identity theft, and compromised security.",Phishing,Phishing,Phishing Domain,
TMT-20241213-LXJ,1735085448075120276,b607cb950b00189df655eef469b94b98,TMT|banner$$20241225$$Adsolut Media_dsp$$unityads$$f5b012e1e8232a6854ec8f73697f1b34$$_RTB,Tag,Malicious,2024-12-25 07:55 +0000,1.24533E+11,https://www.themediatrust.com?scsh=124533395378,3UGvJ47T2a7y,Expired,25/12/2024,25/12/2024,f,3,unityads,,,,,,,Adsolut Media_dsp,,,https://www.themediatrust.com/vt.php?controller=v9&tsid=978f01964dbbdf960a9e7c845b21bd50,GhostCat - 3PC,"GhostCat-3PC: This malicious campaign utilizes advanced obfuscation and delivery patterns to evade signature-based detection. This malware evades conventional blockers in order to hijack users browser sessions for the purpose of delivering popups, redirects, and other phishing content. Publisher visitors who fall victim to this malware may have malicious software installed on their device, including but not limited to Remote Access Trojans and adware.",Phishing,Phishing,GhostCat - 3PC,
